ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:	modulus			
76	00:00:01:007	20	5	252				0,079551478	0,01988787	1,002348624	1,005697136			
77	00:00:01:007	19	6	254				0,075573904	0,023865443	1,010303772	1,013407463			
78	00:00:01:007	20	6	250				0,079551478	0,023865443	0,994393476	0,997855893			
79	00:00:01:007	21	9	254				0,083529052	0,035798165	1,010303772	1,01438273			
80	00:00:01:007	25	8	253				0,099439348	0,031820591	1,006326198	1,011727804			
81	00:00:01:007	0	4	252				0	0,015910296	1,002348624	1,002474888			
82	00:00:01:007	12	2	157				0,047730887	0,007955148	0,624479103	0,626351077			
83	00:00:01:007	24	5	249				0,095461774	0,01988787	0,990415902	0,99520457			
84	00:00:01:007	22	5	254				0,087506626	0,01988787	1,010303772	1,014281346			
85	00:00:01:007	19	5	252				0,075573904	0,01988787	1,002348624	1,005390325			
86	00:00:01:007	18	5	254				0,07159633	0,01988787	1,010303772	1,013032711			
87	00:00:01:007	19	4	253				0,075573904	0,015910296	1,006326198	1,009285375			
88	00:00:01:008	14	3	254				0,055686035	0,011932722	1,010303772	1,011907622			
89	00:00:01:008	19	-7	51				0,075573904	-0,027843017	0,202856269	0,218259741			
90	00:00:01:008	12	0	218				0,047730887	0	0,867111111	0,868423812			
91	00:00:01:008	7	4	248				0,027843017	0,015910296	0,986438328	0,986959445			
92	00:00:01:008	13	1	250				0,051708461	0,003977574	0,994393476	0,995744933			
93	00:00:01:008	10	2	250				0,039775739	0,007955148	0,994393476	0,995220468			
94	00:00:01:008	13	5	251				0,051708461	0,01988787	0,99837105	0,999907018			
95	00:00:01:008	10	3	249				0,039775739	0,011932722	0,990415902	0,991286113			
96	00:00:01:008	9	3	255				0,035798165	0,011932722	1,014281346	1,014983028			
97	00:00:01:008	10	2	253				0,039775739	0,007955148	1,006326198	1,007143391			
98	00:00:01:008	9	3	250				0,035798165	0,011932722	0,994393476	0,995109182			
99	00:00:01:008	10	3	253				0,039775739	0,011932722	1,006326198	1,007182662			
100	00:00:01:125	10	1	253				0,039775739	0,003977574	1,006326198	1,007119827			
101	00:00:01:125	10	5	253				0,039775739	0,01988787	1,006326198	1,007308321			
102	00:00:01:125	11	4	251				0,043753313	0,015910296	0,99837105	0,999455974			
103	00:00:01:125	11	5	254				0,043753313	0,01988787	1,010303772	1,011446287			
104	00:00:01:125	11	3	250				0,043753313	0,011932722	0,994393476	0,995427108			
105	00:00:01:125	13	1	252				0,051708461	0,003977574	1,002348624	1,003689369			
106	00:00:01:126	8	3	251				0,031820591	0,011932722	0,99837105	0,998949295			
107	00:00:01:126	8	1	250				0,031820591	0,003977574	0,994393476	0,994910426			
108	00:00:01:126	11	1	246				0,043753313	0,003977574	0,97848318	0,979468993			
109	00:00:01:126	11	1	250				0,043753313	0,003977574	0,994393476	0,995363531			
110	00:00:01:126	7	4	249				0,027843017	0,015910296	0,990415902	0,990934927			
111	00:00:01:126	9	4	252				0,035798165	0,015910296	1,002348624	1,003113857			
112	00:00:01:127	10	3	250				0,039775739	0,011932722	0,994393476	0,995260209			
113	00:00:01:127	10	5	253				0,039775739	0,01988787	1,006326198	1,007308321			
114	00:00:01:127	12	2	250				0,047730887	0,007955148	0,994393476	0,995570142			
115	00:00:01:127	8	4	252				0,031820591	0,015910296	1,002348624	1,002979786			
116	00:00:01:127	10	3	253				0,039775739	0,011932722	1,006326198	1,007182662			
117	00:00:01:127	5	5	250				0,01988787	0,01988787	0,994393476	0,994791154			
118	00:00:01:127	11	4	248				0,043753313	0,015910296	0,986438328	0,987536362			
119	00:00:01:127	11	3	248				0,043753313	0,011932722	0,986438328	0,987480287			
120	00:00:01:127	11	5	248				0,043753313	0,01988787	0,986438328	0,987608452			
121	00:00:01:127	11	4	254				0,043753313	0,015910296	1,010303772	1,011375895			
122	00:00:01:127	10	3	255				0,039775739	0,011932722	1,014281346	1,015131099			
123	00:00:02:000	10	1	253				0,039775739	0,003977574	1,006326198	1,007119827			
124	00:00:02:000	10	1	252				0,039775739	0,003977574	1,002348624	1,0031454			
125	00:00:02:000	12	5	254				0,047730887	0,01988787	1,010303772	1,011626154			
126	00:00:02:000	6	5	247				0,023865443	0,01988787	0,982460754	0,98295179			
127	00:00:02:000	10	3	246				0,039775739	0,011932722	0,97848318	0,979363994			
128	00:00:02:000	12	0	253				0,047730887	0	1,006326198	1,00745752			
129	00:00:02:000	12	1	252				0,047730887	0,003977574	1,002348624	1,003492313			
130	00:00:02:000	11	3	252				0,043753313	0,011932722	1,002348624	1,003374061			
131	00:00:02:000	11	1	253				0,043753313	0,003977574	1,006326198	1,007284761			
132	00:00:02:000	7	2	253				0,027843017	0,007955148	1,006326198	1,006742735			
133	00:00:02:000	10	5	247				0,039775739	0,01988787	0,982460754	0,98346671			
134	00:00:02:000	10	5	248				0,039775739	0,01988787	0,986438328	0,987440232			
