ndx:	HR:MN:SC:1/128s:	x:	y:	z:
131,	00:00:01:018,	50,	34,	271
132,	00:00:01:018,	48,	37,	271
133,	00:00:01:018,	49,	38,	269
134,	00:00:01:018,	45,	40,	267
135,	00:00:01:019,	46,	36,	271
136,	00:00:01:019,	44,	36,	271
137,	00:00:01:019,	45,	32,	276
138,	00:00:01:019,	46,	38,	270
139,	00:00:01:019,	45,	36,	271
140,	00:00:01:019,	42,	42,	264
141,	00:00:01:019,	40,	38,	269
142,	00:00:01:020,	45,	37,	264
143,	00:00:01:020,	45,	40,	261
144,	00:00:01:020,	48,	43,	260
145,	00:00:01:020,	46,	40,	254
146,	00:00:01:020,	45,	41,	253
147,	00:00:01:020,	42,	38,	256
148,	00:00:01:020,	49,	35,	258
149,	00:00:01:020,	48,	40,	253
150,	00:00:01:020,	49,	40,	249
151,	00:00:01:021,	47,	43,	241
152,	00:00:01:021,	51,	38,	248
153,	00:00:01:021,	48,	38,	250
154,	00:00:01:021,	51,	36,	245
155,	00:00:01:021,	49,	37,	246
156,	00:00:01:021,	54,	42,	251
157,	00:00:01:021,	52,	41,	241
158,	00:00:01:021,	47,	39,	247
159,	00:00:01:021,	48,	38,	249
160,	00:00:01:021,	50,	39,	245
161,	00:00:01:021,	52,	45,	247
162,	00:00:01:021,	47,	49,	247
163,	00:00:01:021,	46,	53,	250
164,	00:00:01:021,	46,	50,	253
165,	00:00:01:021,	47,	50,	251
166,	00:00:01:021,	50,	51,	251
167,	00:00:01:021,	51,	49,	248
168,	00:00:01:036,	34,	60,	231
169,	00:00:01:036,	26,	42,	244
170,	00:00:01:036,	38,	33,	248
171,	00:00:01:036,	45,	28,	248
172,	00:00:01:036,	51,	30,	246
173,	00:00:01:036,	45,	30,	239
174,	00:00:01:036,	39,	30,	244
175,	00:00:01:036,	35,	29,	243
176,	00:00:01:036,	38,	28,	250
177,	00:00:01:036,	40,	34,	244
178,	00:00:01:036,	34,	34,	242
179,	00:00:01:036,	28,	41,	243
180,	00:00:01:036,	13,	49,	239
181,	00:00:01:036,	6,	58,	236
182,	00:00:01:036,	16,	57,	237
183,	00:00:01:036,	31,	52,	241
184,	00:00:01:050,	35,	47,	250
185,	00:00:01:050,	35,	50,	246
186,	00:00:01:050,	33,	51,	255
187,	00:00:01:050,	43,	54,	261
188,	00:00:01:050,	50,	49,	259
189,	00:00:01:050,	50,	47,	257
190,	00:00:01:050,	45,	50,	252
191,	00:00:01:050,	45,	53,	254
192,	00:00:01:050,	43,	52,	249
193,	00:00:01:050,	48,	45,	252
194,	00:00:01:050,	38,	48,	247
195,	00:00:01:050,	39,	48,	243
196,	00:00:01:050,	45,	44,	238
197,	00:00:01:050,	51,	39,	244
198,	00:00:01:050,	45,	36,	240
199,	00:00:01:050,	48,	36,	248
200,	00:00:01:050,	45,	35,	248
201,	00:00:01:064,	49,	33,	253
202,	00:00:01:064,	45,	38,	249
203,	00:00:01:064,	43,	34,	259
204,	00:00:01:064,	42,	35,	261
205,	00:00:01:064,	37,	41,	265
206,	00:00:01:064,	40,	35,	260
207,	00:00:01:064,	57,	28,	266
208,	00:00:01:065,	40,	36,	264
209,	00:00:01:065,	-7,	49,	250
210,	00:00:01:065,	3,	43,	243
211,	00:00:01:065,	14,	42,	248
212,	00:00:01:065,	-4,	41,	233
213,	00:00:01:065,	16,	36,	238
214,	00:00:01:065,	1,	43,	226
215,	00:00:01:065,	9,	40,	230
216,	00:00:01:065,	-4,	45,	221
217,	00:00:01:066,	19,	41,	222
218,	00:00:01:066,	12,	56,	214
219,	00:00:01:066,	34,	48,	214
220,	00:00:01:066,	23,	47,	214
221,	00:00:01:066,	29,	47,	217
222,	00:00:01:066,	79,	29,	267
223,	00:00:01:066,	135,	9,	316
224,	00:00:01:066,	168,	-5,	347
225,	00:00:01:066,	180,	-3,	356
226,	00:00:01:066,	163,	-1,	354
227,	00:00:01:066,	137,	9,	331
228,	00:00:01:066,	105,	26,	306
229,	00:00:01:066,	74,	37,	279
230,	00:00:01:066,	54,	45,	266
231,	00:00:01:066,	4,	31,	240
232,	00:00:01:066,	0,	23,	229
233,	00:00:01:066,	17,	15,	243
234,	00:00:01:068,	26,	4,	247
235,	00:00:01:068,	-1,	-12,	229
236,	00:00:01:068,	-7,	-32,	226
237,	00:00:01:068,	5,	-49,	231
238,	00:00:01:068,	30,	-56,	236
239,	00:00:01:068,	37,	-19,	246
240,	00:00:01:068,	37,	14,	261
241,	00:00:01:068,	30,	29,	266
242,	00:00:01:068,	37,	23,	279
243,	00:00:01:068,	53,	21,	282
244,	00:00:01:068,	65,	16,	284
245,	00:00:01:068,	72,	14,	274
246,	00:00:01:068,	76,	4,	265
247,	00:00:01:068,	70,	2,	249
248,	00:00:01:068,	72,	-4,	251
249,	00:00:01:068,	72,	-3,	250
250,	00:00:01:070,	62,	-10,	248
251,	00:00:01:070,	60,	-4,	237
252,	00:00:01:070,	64,	-1,	245
253,	00:00:01:070,	66,	3,	250
254,	00:00:01:070,	69,	5,	249
255,	00:00:01:070,	78,	7,	254
256,	00:00:01:070,	81,	11,	255
257,	00:00:01:070,	84,	26,	263
258,	00:00:01:070,	80,	-1,	270
259,	00:00:01:070,	66,	-35,	283
260,	00:00:01:070,	35,	-85,	290
261,	00:00:01:070,	27,	-98,	298
262,	00:00:01:070,	57,	-40,	296
263,	00:00:01:070,	84,	48,	280
264,	00:00:01:070,	93,	92,	274
265,	00:00:01:070,	79,	96,	282
266,	00:00:01:070,	64,	82,	282
267,	00:00:01:071,	63,	65,	279
268,	00:00:01:071,	65,	52,	280
269,	00:00:01:071,	66,	33,	245
270,	00:00:01:071,	52,	14,	240
271,	00:00:01:071,	36,	2,	251
272,	00:00:01:071,	22,	2,	251
273,	00:00:01:072,	19,	11,	245
274,	00:00:01:072,	23,	27,	257
275,	00:00:01:072,	23,	39,	257
276,	00:00:01:072,	20,	50,	258
277,	00:00:01:072,	20,	58,	262
278,	00:00:01:072,	14,	61,	267
279,	00:00:01:072,	10,	61,	265
280,	00:00:01:072,	14,	67,	265
281,	00:00:01:072,	6,	65,	256
282,	00:00:01:072,	3,	64,	257
283,	00:00:01:086,	3,	62,	258
284,	00:00:01:086,	1,	63,	257
285,	00:00:01:086,	2,	65,	259
286,	00:00:01:086,	4,	66,	259
287,	00:00:01:086,	2,	71,	258
288,	00:00:01:086,	3,	70,	258
289,	00:00:01:086,	1,	77,	253
290,	00:00:01:086,	2,	78,	252
291,	00:00:01:086,	1,	73,	255
292,	00:00:01:087,	-1,	74,	257
293,	00:00:01:087,	-1,	77,	259
294,	00:00:01:087,	-2,	77,	263
295,	00:00:01:087,	-2,	82,	256
296,	00:00:01:087,	-5,	83,	256
297,	00:00:01:087,	-7,	88,	255
298,	00:00:01:087,	-2,	83,	256
299,	00:00:01:087,	-9,	81,	259
300,	00:00:01:116,	-6,	80,	257
301,	00:00:01:117,	-3,	74,	258
302,	00:00:01:117,	-3,	76,	253
303,	00:00:01:117,	-4,	72,	251
304,	00:00:01:117,	-5,	70,	249
305,	00:00:01:117,	-11,	69,	237
306,	00:00:01:117,	-10,	65,	241
307,	00:00:01:117,	-14,	62,	232
308,	00:00:01:117,	-17,	63,	229
309,	00:00:01:117,	-10,	59,	229
310,	00:00:01:117,	-15,	57,	227
311,	00:00:01:117,	-10,	55,	231
312,	00:00:01:117,	-18,	50,	222
313,	00:00:01:117,	-16,	44,	235
314,	00:00:01:117,	-23,	41,	242
315,	00:00:01:117,	-22,	36,	241
316,	00:00:01:119,	-27,	35,	245
317,	00:00:01:119,	-26,	35,	238
318,	00:00:01:119,	-31,	39,	235
319,	00:00:01:119,	-35,	35,	224
320,	00:00:01:119,	-41,	28,	236
321,	00:00:01:119,	-39,	27,	239
322,	00:00:01:119,	-32,	28,	240
323,	00:00:01:119,	-35,	40,	240
324,	00:00:01:119,	-21,	36,	243
325,	00:00:01:119,	-20,	42,	236
326,	00:00:01:119,	-18,	50,	242
327,	00:00:01:119,	-17,	54,	244
328,	00:00:01:119,	-12,	58,	238
329,	00:00:01:119,	-5,	56,	244
330,	00:00:01:120,	-3,	58,	243
331,	00:00:01:120,	-1,	64,	246
332,	00:00:01:121,	1,	65,	244
333,	00:00:01:121,	1,	65,	248
334,	00:00:01:121,	-4,	69,	255
335,	00:00:01:121,	-18,	63,	256
336,	00:00:01:121,	-14,	64,	251
337,	00:00:01:121,	-14,	65,	247
338,	00:00:01:121,	-17,	66,	242
339,	00:00:01:121,	-14,	55,	244
340,	00:00:01:121,	-15,	59,	249
341,	00:00:01:121,	-21,	58,	245
342,	00:00:01:121,	-12,	61,	261
343,	00:00:01:121,	-14,	56,	248
344,	00:00:01:121,	-16,	52,	254
345,	00:00:01:121,	-16,	47,	264
346,	00:00:01:121,	-28,	51,	251
347,	00:00:01:121,	-33,	51,	256
348,	00:00:01:121,	-28,	49,	249
349,	00:00:01:123,	-25,	58,	248
350,	00:00:01:123,	-24,	54,	258
351,	00:00:01:123,	-34,	56,	250
352,	00:00:01:123,	-37,	55,	244
353,	00:00:01:123,	-30,	60,	257
354,	00:00:01:123,	-32,	64,	251
355,	00:00:01:123,	-40,	87,	252
356,	00:00:01:123,	-53,	96,	263
357,	00:00:01:123,	-47,	97,	266
358,	00:00:01:123,	-32,	87,	259
359,	00:00:01:123,	-22,	75,	252
360,	00:00:01:123,	-16,	61,	256
361,	00:00:01:123,	-19,	50,	242
362,	00:00:01:123,	-23,	47,	236
363,	00:00:01:123,	-31,	33,	221
364,	00:00:01:123,	-22,	30,	219
365,	00:00:01:124,	-32,	11,	224
366,	00:00:01:124,	-25,	19,	234
367,	00:00:01:124,	-21,	18,	217
368,	00:00:01:124,	-16,	24,	224
369,	00:00:01:124,	-13,	12,	219
370,	00:00:01:124,	3,	11,	216
371,	00:00:01:124,	2,	20,	228
372,	00:00:01:124,	9,	17,	235
373,	00:00:01:124,	18,	29,	240
374,	00:00:01:125,	20,	23,	230
375,	00:00:01:125,	16,	28,	235
376,	00:00:01:125,	14,	32,	245
377,	00:00:01:125,	4,	36,	250
378,	00:00:01:125,	3,	44,	251
379,	00:00:01:125,	-3,	40,	261
380,	00:00:01:125,	-5,	48,	264
381,	00:00:01:126,	-4,	47,	273
382,	00:00:01:126,	-13,	53,	271
383,	00:00:01:126,	-17,	54,	272
384,	00:00:01:126,	-21,	56,	264
385,	00:00:01:126,	-18,	61,	252
386,	00:00:01:126,	-14,	61,	255
387,	00:00:01:126,	-23,	58,	261
388,	00:00:01:126,	-24,	57,	249
389,	00:00:01:126,	-17,	57,	256
390,	00:00:01:126,	-6,	55,	266
391,	00:00:01:126,	-6,	66,	261
392,	00:00:01:126,	-14,	67,	264
393,	00:00:01:126,	-9,	66,	266
394,	00:00:01:126,	5,	60,	267
395,	00:00:01:126,	-4,	55,	271
396,	00:00:01:126,	-10,	54,	283
397,	00:00:02:013,	-6,	61,	276
398,	00:00:02:013,	-9,	64,	268
399,	00:00:02:013,	-13,	67,	262
400,	00:00:02:013,	-1,	58,	261
401,	00:00:02:013,	0,	61,	269
402,	00:00:02:013,	2,	62,	271
403,	00:00:02:013,	5,	68,	287
404,	00:00:02:013,	7,	61,	283
405,	00:00:02:013,	7,	70,	277
406,	00:00:02:013,	16,	66,	277
407,	00:00:02:013,	14,	68,	275
408,	00:00:02:013,	7,	77,	283
409,	00:00:02:013,	24,	80,	276
410,	00:00:02:013,	25,	78,	276
411,	00:00:02:013,	27,	83,	270
412,	00:00:02:013,	37,	84,	279
413,	00:00:02:014,	37,	86,	269
414,	00:00:02:027,	38,	84,	270
415,	00:00:02:027,	48,	75,	270
416,	00:00:02:027,	47,	71,	270
417,	00:00:02:027,	36,	62,	262
418,	00:00:02:027,	39,	60,	264
419,	00:00:02:027,	49,	56,	261
420,	00:00:02:027,	52,	54,	255
421,	00:00:02:027,	61,	64,	257
422,	00:00:02:027,	55,	50,	254
423,	00:00:02:027,	47,	48,	252
424,	00:00:02:027,	41,	53,	252
425,	00:00:02:027,	58,	48,	251
426,	00:00:02:027,	61,	33,	254
427,	00:00:02:027,	47,	39,	247
428,	00:00:02:027,	17,	28,	239
429,	00:00:02:027,	17,	19,	257
430,	00:00:02:041,	19,	17,	263
431,	00:00:02:041,	25,	14,	263
432,	00:00:02:041,	33,	6,	260
433,	00:00:02:041,	10,	2,	256
434,	00:00:02:041,	-21,	9,	232
435,	00:00:02:041,	-17,	23,	231
436,	00:00:02:042,	-23,	25,	235
437,	00:00:02:042,	-31,	22,	227
438,	00:00:02:042,	-30,	30,	215
439,	00:00:02:042,	-24,	20,	216
440,	00:00:02:042,	-15,	23,	234
441,	00:00:02:042,	6,	16,	236
442,	00:00:02:042,	20,	14,	234
443,	00:00:02:042,	39,	1,	233
444,	00:00:02:042,	46,	1,	228
445,	00:00:02:042,	59,	2,	223
446,	00:00:02:042,	60,	2,	235
447,	00:00:02:043,	58,	5,	237
448,	00:00:02:043,	51,	9,	237
449,	00:00:02:043,	56,	15,	237
450,	00:00:02:043,	52,	20,	236
451,	00:00:02:043,	43,	20,	247
452,	00:00:02:043,	38,	26,	235
453,	00:00:02:044,	32,	26,	238
454,	00:00:02:044,	40,	28,	250
455,	00:00:02:044,	38,	36,	254
456,	00:00:02:044,	42,	32,	254
457,	00:00:02:044,	34,	46,	254
458,	00:00:02:044,	34,	48,	259
459,	00:00:02:044,	31,	52,	261
460,	00:00:02:044,	36,	50,	262
461,	00:00:02:044,	42,	47,	263
462,	00:00:02:044,	45,	50,	262
463,	00:00:02:044,	45,	50,	258
464,	00:00:02:045,	54,	47,	256
465,	00:00:02:045,	49,	48,	253
466,	00:00:02:045,	56,	52,	259
467,	00:00:02:045,	50,	44,	252
468,	00:00:02:045,	55,	40,	255
469,	00:00:02:045,	58,	35,	256
470,	00:00:02:045,	65,	37,	256
471,	00:00:02:045,	69,	41,	252
472,	00:00:02:045,	75,	40,	253
473,	00:00:02:045,	75,	42,	249
474,	00:00:02:045,	72,	37,	251
475,	00:00:02:045,	81,	37,	261
476,	00:00:02:045,	76,	36,	266
477,	00:00:02:045,	77,	32,	263
478,	00:00:02:045,	71,	31,	264
479,	00:00:02:045,	74,	29,	267
480,	00:00:02:047,	68,	23,	267
481,	00:00:02:047,	65,	19,	264
482,	00:00:02:047,	63,	17,	261
483,	00:00:02:047,	54,	15,	262
484,	00:00:02:047,	47,	7,	262
485,	00:00:02:047,	60,	5,	263
486,	00:00:02:047,	54,	2,	261
487,	00:00:02:047,	55,	-1,	262
488,	00:00:02:047,	46,	-6,	259
489,	00:00:02:047,	57,	-10,	254
490,	00:00:02:047,	51,	-9,	253
491,	00:00:02:047,	57,	-12,	270
492,	00:00:02:047,	58,	-8,	257
493,	00:00:02:047,	60,	-2,	269
494,	00:00:02:047,	58,	5,	249
495,	00:00:02:047,	62,	7,	254
496,	00:00:02:047,	54,	7,	248
497,	00:00:02:048,	62,	27,	245
498,	00:00:02:048,	62,	17,	249
499,	00:00:02:048,	58,	19,	244
500,	00:00:02:048,	65,	16,	254
501,	00:00:02:048,	71,	22,	240
502,	00:00:02:048,	70,	25,	243
503,	00:00:02:048,	75,	25,	241
504,	00:00:02:049,	76,	21,	240
505,	00:00:02:049,	79,	29,	258
506,	00:00:02:049,	71,	19,	244
507,	00:00:02:049,	70,	30,	232
508,	00:00:02:049,	72,	23,	248
509,	00:00:02:049,	66,	36,	255
510,	00:00:02:049,	76,	31,	255
511,	00:00:02:049,	81,	27,	260
512,	00:00:02:049,	79,	30,	266
513,	00:00:02:063,	84,	29,	259
514,	00:00:02:063,	75,	24,	267
515,	00:00:02:063,	73,	31,	267
516,	00:00:02:063,	70,	33,	274
517,	00:00:02:063,	77,	44,	262
518,	00:00:02:063,	69,	39,	264
519,	00:00:02:063,	73,	34,	269
520,	00:00:02:063,	73,	38,	262
521,	00:00:02:063,	73,	36,	263
522,	00:00:02:063,	70,	37,	263
523,	00:00:02:063,	71,	33,	255
524,	00:00:02:063,	68,	33,	254
525,	00:00:02:063,	70,	26,	254
526,	00:00:02:063,	72,	24,	254
527,	00:00:02:063,	76,	21,	246
528,	00:00:02:063,	83,	25,	242
529,	00:00:02:063,	82,	23,	222
530,	00:00:02:077,	95,	20,	219
531,	00:00:02:077,	94,	14,	214
532,	00:00:02:077,	95,	7,	207
533,	00:00:02:077,	94,	10,	203
534,	00:00:02:077,	104,	2,	203
535,	00:00:02:077,	101,	-5,	192
536,	00:00:02:077,	109,	1,	203
537,	00:00:02:077,	102,	-2,	209
538,	00:00:02:077,	107,	-6,	195
539,	00:00:02:077,	106,	-14,	206
540,	00:00:02:077,	98,	-7,	206
541,	00:00:02:077,	105,	-5,	208
542,	00:00:02:077,	96,	-8,	214
543,	00:00:02:077,	100,	-17,	217
544,	00:00:02:077,	95,	-8,	219
545,	00:00:02:077,	95,	0,	220
546,	00:00:02:091,	76,	-12,	227
547,	00:00:02:091,	89,	-10,	221
548,	00:00:02:091,	82,	-9,	236
549,	00:00:02:091,	71,	-1,	235
550,	00:00:02:091,	68,	0,	233
551,	00:00:02:091,	66,	1,	230
552,	00:00:02:091,	65,	11,	243
553,	00:00:02:091,	69,	7,	236
554,	00:00:02:091,	82,	14,	251
555,	00:00:02:091,	91,	14,	263
556,	00:00:02:092,	88,	23,	262
557,	00:00:02:092,	87,	25,	268
558,	00:00:02:092,	92,	22,	266
559,	00:00:02:092,	99,	17,	280
560,	00:00:02:092,	86,	21,	276
561,	00:00:02:092,	100,	13,	280
562,	00:00:02:092,	94,	6,	263
563,	00:00:02:093,	96,	10,	271
564,	00:00:02:093,	89,	7,	290
565,	00:00:02:093,	88,	4,	270
566,	00:00:02:093,	80,	5,	273
567,	00:00:02:093,	79,	-1,	273
568,	00:00:02:093,	81,	-3,	261
569,	00:00:02:093,	76,	-2,	255
570,	00:00:02:093,	74,	-7,	258
571,	00:00:02:093,	77,	-8,	252
572,	00:00:02:093,	72,	-15,	253
573,	00:00:02:093,	81,	-28,	251
574,	00:00:02:093,	74,	-19,	246
575,	00:00:02:093,	76,	-22,	244
576,	00:00:02:093,	74,	-24,	232
577,	00:00:02:093,	79,	-17,	245
578,	00:00:02:093,	66,	-20,	236
579,	00:00:02:095,	64,	-22,	244
580,	00:00:02:095,	65,	-25,	244
581,	00:00:02:095,	69,	-18,	241
582,	00:00:02:095,	79,	-24,	246
583,	00:00:02:095,	76,	-24,	245
584,	00:00:02:095,	73,	-23,	241
585,	00:00:02:095,	78,	-24,	254
586,	00:00:02:095,	100,	-17,	249
587,	00:00:02:095,	93,	-37,	269
588,	00:00:02:095,	96,	-29,	264
589,	00:00:02:095,	106,	-28,	265
590,	00:00:02:095,	101,	-26,	261
591,	00:00:02:095,	104,	-39,	261
592,	00:00:02:095,	102,	-43,	268
593,	00:00:02:095,	98,	-34,	256
594,	00:00:02:095,	93,	-32,	263
595,	00:00:02:097,	97,	-25,	253
596,	00:00:02:097,	94,	-21,	260
597,	00:00:02:097,	97,	-19,	268
598,	00:00:02:097,	94,	-10,	259
599,	00:00:02:097,	74,	-8,	273
0,	00:00:02:113,	80,	-7,	275
1,	00:00:02:114,	70,	-2,	280
2,	00:00:02:114,	78,	7,	279
3,	00:00:02:114,	58,	11,	284
4,	00:00:02:114,	46,	10,	274
5,	00:00:02:114,	51,	22,	269
6,	00:00:02:114,	50,	25,	269
7,	00:00:02:114,	46,	44,	261
8,	00:00:02:114,	47,	36,	261
9,	00:00:02:114,	46,	37,	255
10,	00:00:02:114,	55,	38,	247
11,	00:00:02:114,	67,	31,	243
12,	00:00:02:127,	76,	29,	234
13,	00:00:02:127,	84,	23,	226
14,	00:00:02:127,	86,	17,	217
15,	00:00:02:127,	86,	12,	209
16,	00:00:02:127,	92,	-1,	210
17,	00:00:02:127,	90,	-10,	205
18,	00:00:02:127,	91,	-22,	206
19,	00:00:02:127,	91,	-21,	208
20,	00:00:02:127,	94,	-31,	205
21,	00:00:02:127,	98,	-27,	211
22,	00:00:02:127,	91,	-33,	213
23,	00:00:02:127,	89,	-39,	214
24,	00:00:02:127,	92,	-40,	224
25,	00:00:03:000,	98,	-40,	224
26,	00:00:03:000,	100,	-42,	237
27,	00:00:03:000,	95,	-33,	242
28,	00:00:03:000,	93,	-29,	253
29,	00:00:03:014,	98,	-25,	266
30,	00:00:03:014,	97,	-19,	278
31,	00:00:03:014,	97,	-8,	278
32,	00:00:03:014,	96,	4,	278
33,	00:00:03:014,	92,	14,	279
34,	00:00:03:014,	84,	19,	289
35,	00:00:03:014,	77,	29,	289
36,	00:00:03:014,	72,	34,	293
37,	00:00:03:014,	72,	35,	302
38,	00:00:03:014,	71,	43,	296
39,	00:00:03:014,	74,	39,	301
40,	00:00:03:014,	76,	46,	295
41,	00:00:03:014,	64,	51,	295
42,	00:00:03:014,	75,	48,	272
43,	00:00:03:014,	66,	59,	278
44,	00:00:03:014,	72,	62,	277
45,	00:00:03:014,	70,	53,	273
46,	00:00:03:015,	79,	41,	276
47,	00:00:03:015,	88,	36,	267
48,	00:00:03:016,	91,	36,	265
49,	00:00:03:016,	98,	24,	262
50,	00:00:03:016,	70,	24,	238
51,	00:00:03:016,	58,	27,	245
52,	00:00:03:016,	74,	34,	250
53,	00:00:03:016,	80,	12,	237
54,	00:00:03:016,	80,	11,	234
55,	00:00:03:016,	80,	10,	244
56,	00:00:03:016,	93,	4,	235
57,	00:00:03:016,	63,	5,	237
58,	00:00:03:016,	61,	5,	231
59,	00:00:03:016,	70,	-1,	229
60,	00:00:03:016,	67,	2,	221
61,	00:00:03:016,	65,	3,	240
62,	00:00:03:016,	64,	4,	234
63,	00:00:03:017,	72,	11,	233
64,	00:00:03:017,	78,	7,	250
65,	00:00:03:017,	87,	7,	243
66,	00:00:03:017,	100,	5,	247
67,	00:00:03:017,	114,	3,	247
68,	00:00:03:017,	135,	-9,	254
69,	00:00:03:017,	139,	-13,	254
70,	00:00:03:017,	167,	-18,	254
71,	00:00:03:017,	170,	-26,	263
72,	00:00:03:017,	185,	-27,	252
73,	00:00:03:017,	180,	-29,	245
74,	00:00:03:017,	185,	-39,	245
75,	00:00:03:017,	171,	-44,	243
76,	00:00:03:018,	163,	-43,	246
77,	00:00:03:018,	154,	-47,	248
78,	00:00:03:018,	144,	-45,	253
79,	00:00:03:019,	137,	-37,	250
80,	00:00:03:019,	129,	-25,	258
81,	00:00:03:019,	114,	-22,	251
82,	00:00:03:019,	109,	-20,	252
83,	00:00:03:019,	98,	-5,	250
84,	00:00:03:019,	93,	-2,	231
85,	00:00:03:019,	102,	-25,	249
