ndx:	HR:MN:SC:1/128s:	x:	y:	z:
0,	00:00:00:094,	116,	58,	218
1,	00:00:00:095,	121,	63,	234
2,	00:00:00:095,	119,	62,	232
3,	00:00:00:095,	119,	63,	227
4,	00:00:00:095,	115,	61,	236
5,	00:00:00:095,	115,	64,	234
6,	00:00:00:095,	111,	58,	238
7,	00:00:00:095,	114,	61,	230
8,	00:00:00:095,	122,	57,	241
9,	00:00:00:095,	121,	58,	237
10,	00:00:00:095,	117,	64,	237
11,	00:00:00:095,	115,	63,	240
12,	00:00:00:095,	109,	67,	236
13,	00:00:00:095,	112,	58,	241
14,	00:00:00:095,	103,	53,	231
15,	00:00:00:095,	94,	51,	223
16,	00:00:00:097,	90,	44,	228
17,	00:00:00:097,	91,	37,	223
18,	00:00:00:097,	100,	34,	218
19,	00:00:00:097,	95,	31,	227
20,	00:00:00:097,	94,	36,	225
21,	00:00:00:097,	107,	35,	233
22,	00:00:00:097,	94,	38,	224
23,	00:00:00:098,	96,	51,	227
24,	00:00:00:098,	102,	54,	222
25,	00:00:00:098,	100,	55,	233
26,	00:00:00:098,	99,	58,	233
27,	00:00:00:098,	99,	60,	231
28,	00:00:00:098,	100,	62,	233
29,	00:00:00:098,	96,	61,	246
30,	00:00:00:098,	91,	64,	239
31,	00:00:00:098,	91,	64,	246
32,	00:00:00:098,	87,	66,	248
33,	00:00:00:099,	45,	52,	260
34,	00:00:00:099,	40,	43,	260
35,	00:00:00:099,	44,	37,	261
36,	00:00:00:099,	42,	35,	259
37,	00:00:00:099,	45,	36,	257
38,	00:00:00:099,	45,	36,	252
39,	00:00:00:099,	45,	37,	253
40,	00:00:00:099,	42,	37,	252
41,	00:00:00:099,	45,	34,	254
42,	00:00:00:099,	50,	35,	250
43,	00:00:00:099,	46,	35,	250
44,	00:00:00:099,	44,	35,	250
45,	00:00:00:099,	44,	39,	253
46,	00:00:00:099,	47,	36,	252
47,	00:00:00:099,	44,	38,	254
48,	00:00:00:099,	49,	36,	250
49,	00:00:00:099,	43,	33,	246
50,	00:00:00:114,	46,	35,	250
51,	00:00:00:114,	42,	36,	254
52,	00:00:00:114,	46,	33,	257
53,	00:00:00:114,	44,	35,	257
54,	00:00:00:114,	47,	37,	255
55,	00:00:00:114,	44,	38,	254
56,	00:00:00:114,	43,	35,	261
57,	00:00:00:114,	43,	35,	260
58,	00:00:00:114,	43,	34,	266
59,	00:00:00:114,	44,	34,	259
60,	00:00:00:114,	45,	33,	261
61,	00:00:00:114,	43,	36,	258
62,	00:00:00:114,	44,	36,	263
63,	00:00:00:114,	44,	43,	274
64,	00:00:00:114,	43,	38,	270
65,	00:00:00:114,	43,	39,	270
66,	00:00:00:114,	41,	41,	267
67,	00:00:00:127,	38,	42,	275
68,	00:00:00:127,	41,	37,	274
69,	00:00:00:127,	42,	42,	272
70,	00:00:00:127,	44,	41,	271
71,	00:00:00:127,	42,	44,	267
72,	00:00:00:127,	43,	42,	271
73,	00:00:00:127,	41,	42,	268
74,	00:00:00:127,	43,	38,	271
75,	00:00:00:127,	48,	37,	265
76,	00:00:01:000,	52,	37,	260
77,	00:00:01:000,	51,	38,	259
78,	00:00:01:000,	54,	40,	257
79,	00:00:01:000,	51,	41,	257
80,	00:00:01:000,	51,	38,	256
81,	00:00:01:000,	55,	33,	258
82,	00:00:01:000,	56,	37,	250
83,	00:00:01:000,	58,	37,	249
84,	00:00:01:014,	58,	37,	244
85,	00:00:01:014,	58,	38,	244
86,	00:00:01:014,	53,	35,	247
87,	00:00:01:014,	55,	37,	248
88,	00:00:01:014,	57,	36,	247
89,	00:00:01:014,	59,	35,	241
90,	00:00:01:014,	57,	40,	247
91,	00:00:01:014,	57,	42,	241
92,	00:00:01:014,	55,	39,	247
93,	00:00:01:014,	57,	39,	249
94,	00:00:01:014,	60,	43,	252
95,	00:00:01:014,	59,	41,	250
96,	00:00:01:014,	55,	42,	245
97,	00:00:01:014,	54,	39,	250
98,	00:00:01:014,	52,	40,	248
99,	00:00:01:014,	57,	37,	252
100,	00:00:01:014,	55,	40,	246
101,	00:00:01:014,	58,	39,	243
102,	00:00:01:016,	55,	42,	239
103,	00:00:01:016,	52,	38,	245
104,	00:00:01:016,	54,	40,	243
105,	00:00:01:016,	54,	32,	249
106,	00:00:01:016,	55,	35,	244
107,	00:00:01:016,	56,	34,	242
108,	00:00:01:016,	57,	36,	239
109,	00:00:01:016,	56,	37,	245
110,	00:00:01:016,	52,	36,	251
111,	00:00:01:016,	56,	37,	249
112,	00:00:01:016,	54,	35,	254
113,	00:00:01:016,	56,	37,	251
114,	00:00:01:016,	57,	36,	253
115,	00:00:01:016,	55,	36,	253
116,	00:00:01:016,	52,	39,	254
117,	00:00:01:016,	48,	38,	260
118,	00:00:01:018,	49,	38,	260
119,	00:00:01:018,	49,	35,	263
120,	00:00:01:018,	50,	39,	260
121,	00:00:01:018,	51,	39,	259
122,	00:00:01:018,	50,	41,	256
123,	00:00:01:018,	49,	40,	261
124,	00:00:01:018,	46,	37,	260
125,	00:00:01:018,	51,	37,	269
126,	00:00:01:018,	51,	36,	257
127,	00:00:01:018,	52,	41,	259
128,	00:00:01:018,	48,	41,	262
129,	00:00:01:018,	47,	36,	269
130,	00:00:01:018,	49,	36,	269
