ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:
93	00:00:01:004	1	3	247				0,003977574	0,011932722	0,982460754
94	00:00:01:004	-3	2	247				-0,011932722	0,007955148	0,982460754
95	00:00:01:004	-5	2	250				-0,01988787	0,007955148	0,994393476
96	00:00:01:004	-3	2	252				-0,011932722	0,007955148	1,002348624
97	00:00:01:004	-5	4	255				-0,01988787	0,015910296	1,014281346
98	00:00:01:004	-1	3	253				-0,003977574	0,011932722	1,006326198
99	00:00:01:004	-2	5	253				-0,007955148	0,01988787	1,006326198
100	00:00:01:120	-2	2	253				-0,007955148	0,007955148	1,006326198
101	00:00:01:121	-1	4	254				-0,003977574	0,015910296	1,010303772
102	00:00:01:121	0	5	248				0	0,01988787	0,986438328
103	00:00:01:121	0	2	248				0	0,007955148	0,986438328
104	00:00:01:121	0	1	250				0	0,003977574	0,994393476
105	00:00:01:121	0	1	249				0	0,003977574	0,990415902
106	00:00:01:121	0	3	247				0	0,011932722	0,982460754
107	00:00:02:003	-1	3	253				-0,003977574	0,011932722	1,006326198
108	00:00:02:003	0	2	253				0	0,007955148	1,006326198
109	00:00:02:003	0	4	252				0	0,015910296	1,002348624
110	00:00:02:003	-2	6	254				-0,007955148	0,023865443	1,010303772
111	00:00:02:003	-2	5	250				-0,007955148	0,01988787	0,994393476
112	00:00:02:003	-3	3	252				-0,011932722	0,011932722	1,002348624
113	00:00:02:003	-2	1	253				-0,007955148	0,003977574	1,006326198
114	00:00:02:003	-1	4	251				-0,003977574	0,015910296	0,99837105
115	00:00:02:003	0	1	255				0	0,003977574	1,014281346
116	00:00:02:003	1	4	250				0,003977574	0,015910296	0,994393476
117	00:00:02:003	-1	2	248				-0,003977574	0,007955148	0,986438328
118	00:00:02:003	1	2	251				0,003977574	0,007955148	0,99837105
119	00:00:02:003	0	2	251				0	0,007955148	0,99837105
120	00:00:02:003	0	2	252				0	0,007955148	1,002348624
121	00:00:02:003	0	3	253				0	0,011932722	1,006326198
122	00:00:02:003	0	2	247				0	0,007955148	0,982460754
123	00:00:02:003	0	2	251				0	0,007955148	0,99837105
124	00:00:02:010	0	4	249				0	0,015910296	0,990415902
125	00:00:02:010	-3	4	249				-0,011932722	0,015910296	0,990415902
126	00:00:02:010	-4	2	250				-0,015910296	0,007955148	0,994393476
127	00:00:02:010	-2	4	249				-0,007955148	0,015910296	0,990415902
128	00:00:02:010	0	0	248				0	0	0,986438328
129	00:00:02:010	2	3	249				0,007955148	0,011932722	0,990415902
130	00:00:02:010	1	2	252				0,003977574	0,007955148	1,002348624
131	00:00:02:010	-1	3	249				-0,003977574	0,011932722	0,990415902
132	00:00:02:010	-2	1	253				-0,007955148	0,003977574	1,006326198
133	00:00:02:010	0	0	255				0	0	1,014281346
134	00:00:02:010	0	4	254				0	0,015910296	1,010303772
135	00:00:02:010	-3	4	254				-0,011932722	0,015910296	1,010303772
136	00:00:02:010	-1	3	250				-0,003977574	0,011932722	0,994393476
137	00:00:02:010	0	3	252				0	0,011932722	1,002348624
138	00:00:02:010	-1	3	250				-0,003977574	0,011932722	0,994393476
139	00:00:02:010	0	3	252				0	0,011932722	1,002348624
140	00:00:02:010	-2	3	253				-0,007955148	0,011932722	1,006326198
141	00:00:02:013	0	3	253				0	0,011932722	1,006326198
142	00:00:02:013	0	2	245				0	0,007955148	0,974505607
143	00:00:02:013	-4	4	249				-0,015910296	0,015910296	0,990415902
144	00:00:02:013	0	5	253				0	0,01988787	1,006326198
145	00:00:02:013	-1	4	252				-0,003977574	0,015910296	1,002348624
146	00:00:02:013	-1	3	252				-0,003977574	0,011932722	1,002348624
147	00:00:02:013	-1	2	254				-0,003977574	0,007955148	1,010303772
148	00:00:02:013	-5	3	254				-0,01988787	0,011932722	1,010303772
149	00:00:02:013	-1	1	254				-0,003977574	0,003977574	1,010303772
150	00:00:02:013	-1	3	253				-0,003977574	0,011932722	1,006326198
151	00:00:02:013	-1	3	253				-0,003977574	0,011932722	1,006326198
152	00:00:02:013	0	4	247				0	0,015910296	0,982460754
153	00:00:02:014	0	3	250				0	0,011932722	0,994393476
154	00:00:02:014	0	3	248				0	0,011932722	0,986438328
155	00:00:02:014	-2	2	246				-0,007955148	0,007955148	0,97848318
156	00:00:02:014	-4	2	250				-0,015910296	0,007955148	0,994393476
157	00:00:02:014	-3	5	254				-0,011932722	0,01988787	1,010303772
158	00:00:02:014	-2	4	253				-0,007955148	0,015910296	1,006326198
159	00:00:02:015	0	1	253				0	0,003977574	1,006326198
160	00:00:02:015	-2	3	252				-0,007955148	0,011932722	1,002348624
161	00:00:02:015	-3	4	252				-0,011932722	0,015910296	1,002348624
162	00:00:02:015	-3	3	252				-0,011932722	0,011932722	1,002348624
163	00:00:02:015	0	3	252				0	0,011932722	1,002348624
164	00:00:02:015	-1	0	252				-0,003977574	0	1,002348624
165	00:00:02:015	-2	2	253				-0,007955148	0,007955148	1,006326198
166	00:00:02:015	0	2	253				0	0,007955148	1,006326198
167	00:00:02:015	0	0	248				0	0	0,986438328
168	00:00:02:015	0	1	248				0	0,003977574	0,986438328
169	00:00:02:015	0	4	246				0	0,015910296	0,97848318
170	00:00:02:015	-3	4	252				-0,011932722	0,015910296	1,002348624
171	00:00:02:015	0	3	251				0	0,011932722	0,99837105
172	00:00:02:015	0	2	248				0	0,007955148	0,986438328
173	00:00:02:015	0	2	252				0	0,007955148	1,002348624
174	00:00:02:015	0	2	254				0	0,007955148	1,010303772
175	00:00:02:015	-1	1	256				-0,003977574	0,003977574	1,018258919
176	00:00:02:016	-1	4	254				-0,003977574	0,015910296	1,010303772
177	00:00:02:016	-2	1	256				-0,007955148	0,003977574	1,018258919
178	00:00:02:016	-3	3	254				-0,011932722	0,011932722	1,010303772
179	00:00:02:016	0	3	252				0	0,011932722	1,002348624
180	00:00:02:016	0	1	250				0	0,003977574	0,994393476
181	00:00:02:016	0	4	247				0	0,015910296	0,982460754
182	00:00:02:016	0	1	245				0	0,003977574	0,974505607
183	00:00:02:016	0	2	243				0	0,007955148	0,966550459
184	00:00:02:016	0	1	246				0	0,003977574	0,97848318
185	00:00:02:016	0	1	252				0	0,003977574	1,002348624
186	00:00:02:016	0	1	248				0	0,003977574	0,986438328
